,Model_Name,Train_Accuracy,F1_0Class,F1_1Class,Test_Accuracy,F1_0Class_test,F1_1Class_test,Features,Comments
61,Logistic,0.8220876585928489,0.8163143792795475,0.8275090858261113,0.8216666666666667,0.8693528693528694,0.7191601049868768,Non-Text+TFIDF, C : 0.1| Penalty : l2
62,Logistic,0.8682237600922722,0.8642708642708643,0.871952927991034,0.8166666666666667,0.8681055155875299,0.6994535519125683,Non-Text+TFIDF, C : 1| Penalty : l1
63,Logistic,0.8618800461361015,0.8573980351295029,0.8660889013139502,0.8166666666666667,0.8674698795180722,0.7027027027027027,Non-Text+TFIDF, C : 1| Penalty : l2
64,Logistic,0.879757785467128,0.8768094534711965,0.88256829062236,0.7983333333333333,0.8571428571428572,0.6572237960339943,Non-Text+TFIDF, C : 10| Penalty : l1
65,Logistic,0.8791810841983853,0.8759253775540421,0.882270300646249,0.8133333333333334,0.8672985781990522,0.6853932584269663,Non-Text+TFIDF, C : 10| Penalty : l2
66,Logistic,0.879757785467128,0.8773168578993822,0.8821034775233247,0.7883333333333333,0.8497041420118343,0.6422535211267607,Non-Text+TFIDF, C : 100| Penalty : l1
67,Logistic,0.8786043829296425,0.8759210138520483,0.8811741462037821,0.7933333333333333,0.8534278959810875,0.6497175141242938,Non-Text+TFIDF, C : 100| Penalty : l2
68,XGBoost,0.9769319492502884,0.9769186381996539,0.9769452449567724,0.8383333333333334,0.888633754305396,0.7051671732522796,Non-Text+TFIDF," Best_Score_ : 0.8872549019607843| Best_Param_ : {'colsample_bytree': 0.8, 'max_depth': 10, 'n_estimators': 100}"
69,RandomForest,0.9002306805074971,0.8975725281231498,0.9027543563799887,0.8233333333333334,0.8725961538461539,0.7119565217391305,Non-Text+TFIDF," Best_Score_ : 0.8408304498269896| Best_Param_ : {'n_estimators': 75, 'min_samples_leaf': 5, 'max_depth': 14, 'class_weight': 'balanced_subsample'}"
70,Logistic,0.5,0.0,0.6666666666666666,0.27,0.0,0.4251968503937008,Non-Text+CountVect, C : 0.001| Penalty : l1
71,Logistic,0.7946943483275664,0.7870813397129187,0.8017817371937639,0.8,0.8536585365853657,0.6842105263157895,Non-Text+CountVect, C : 0.001| Penalty : l2
72,Logistic,0.7724913494809689,0.7663606751554634,0.7783085136274235,0.7816666666666666,0.8388683886838868,0.6614987080103358,Non-Text+CountVect, C : 0.01| Penalty : l1
73,Logistic,0.8356401384083045,0.8306595365418895,0.8403361344537814,0.8266666666666667,0.8743961352657005,0.7204301075268816,Non-Text+CountVect, C : 0.01| Penalty : l2
74,Logistic,0.8238177623990772,0.8184249628528975,0.8288994679361524,0.8166666666666667,0.8665048543689319,0.7074468085106383,Non-Text+CountVect, C : 0.1| Penalty : l1
75,Logistic,0.9059976931949251,0.9034931912374186,0.9083754918493535,0.8516666666666667,0.8951707891637221,0.7464387464387465,Non-Text+CountVect, C : 0.1| Penalty : l2
76,Logistic,0.9512687427912342,0.9505992399883076,0.9519203413940256,0.8616666666666667,0.9042675893886968,0.7507507507507507,Non-Text+CountVect, C : 1| Penalty : l1
77,Logistic,0.9714532871972318,0.97119581029968,0.9717062017719348,0.8616666666666667,0.9040462427745665,0.7522388059701492,Non-Text+CountVect, C : 1| Penalty : l2
78,Logistic,0.9988465974625144,0.9988459319099826,0.9988472622478386,0.825,0.8794489092996555,0.6808510638297872,Non-Text+CountVect, C : 10| Penalty : l1
79,Logistic,0.9945213379469435,0.9945039051200462,0.9945386605346365,0.8416666666666667,0.8904267589388697,0.7147147147147148,Non-Text+CountVect, C : 10| Penalty : l2
80,Logistic,0.9991349480968859,0.9991346985866745,0.999135197463246,0.8066666666666666,0.8657407407407407,0.6547619047619048,Non-Text+CountVect, C : 100| Penalty : l1
81,Logistic,0.9994232987312572,0.9994232987312572,0.9994232987312572,0.8166666666666667,0.8732718894009216,0.6686746987951807,Non-Text+CountVect, C : 100| Penalty : l2
82,XGBoost,0.9760668973471741,0.9762517882689556,0.975879104911363,0.8483333333333334,0.8967082860385925,0.7147335423197492,Non-Text+CountVect," Best_Score_ : 0.8898500576701269| Best_Param_ : {'colsample_bytree': 0.7, 'max_depth': 10, 'n_estimators': 100}"
83,RandomForest,0.884083044982699,0.8823185011709602,0.8857954545454546,0.8383333333333334,0.8854781582054309,0.7252124645892352,Non-Text+CountVect," Best_Score_ : 0.8448673587081892| Best_Param_ : {'n_estimators': 50, 'min_samples_leaf': 5, 'max_depth': 14, 'class_weight': 'balanced_subsample'}"
